timestamp,speaker,words,tags,highlight,timelink
,JCC,"Yes. Well, the counter was at the begi-, at the entrance, that the cash register, no. The counter was there. And then the some rows were this way, and some rows were that way. Okay.",,,
,AA,Okay.,,,
,JCC,"So you just got your food. It was small. Oh, and then and the meat market was at the back.",,,
,AA,Okay.,,,
,JCC,"Yeah, and you know, everything there was the person with the meat, wrapping it up, okay, cutting it up.",,,
,AA,And you said your dad was a butcher. Did he work at home? Did he have people bring stock to him? Or where did he work?,,,
,JCC,As well. There was Farmer John that now doesn't exist.,,,
,AA,Okay.,,,
,JCC,"The Busbys that doesn't exist. No. Another Rancheria were close to Mr. Price, where he he lived. Yeah, there was one there. And then he also traveled to Wilcox.",,,
,AA,"Oh, wow. So he worked all over as a butcher?",,,
,JCC,"Yeah, and then people would call him. He would go to San Xavier. He would go to South and the different ranches.",,,
,AA,So he would do like on site? ,,,
,JCC,Yes.,,,
,AA,Wow. That's very neat.,,,
,JCC,"So he was very well known, very well liked to care for.",,,
,AA,Yeah. I remember David Russell spoke very fondly of him.,,,
,JCC,"See, he did? Oh.",,,
,AA,"Yeah, because we just recorded. So it's like, oh. It's like, oh, that's the the Contre- Was it, Joe?",,,
,JCC,Yes.,,,
,AA,"Yeah, Joe Contreras, yeah. So that, I mean, it's funny. Someone was just telling me about your dad, which is really neat. What kind of, you said you were growing fruit trees on your property? What kind of trees did you have?",,,
,JCC,"Everything but pomegranates. And that's interesting, because I would also go over to the Russells, because they had a lot of pomegrans, and go and go get one there. So everything was apricots, peaches, apples, grapes, yeah, that's what I remember.",,,
,AA,"This sounds like a very, very nice place.",,,
,JCC,"Yes, it was. Now I can't go back because it's such a disgrace.",,,
,AA,"Yeah, how has it changed?",,,
,JCC,"The water. Miss Jean Russell was the one that that was in charge of organizing and making, making an agreement with the city of their water there, their water rights and and it was interesting that it was connected with Flowing Wells district.",,,
,AA,Oh really?,,,
,JCC,"Yes. So I asked her whats, because it was in 1995 when they lost, they had to close up the well stop. So I asked her, why and why just 20 years because they thought it was going to be there was a lot of years. And 20 years came, and every, they closed.",,,
,AA,"Came and went, huh?",,,
,JCC,"So every everything started, started dying.",,,
,AA,Because it went over to city water. Is that what happened?,,,
,JCC,"Mhm. And with now, with the New Mexico Acequia Association, there that they have there. I want to see how we build the relationship so we can at least preserve or map them out. Where the acequias is used to be, because that's going away too. There's a compuerta there in the compuerta is like the gate where the water will go different directions. So when I go by and I see it abandoned that it can be destroyed. I really want us to save that story.",,,
,AA,"Yeah, when you go to the neighborhood now, can you see where the old acequias are?",,,
,JCC,I can see. I don't know if it-,,,
,AA,"Is that because you know where to look? Like if I went, would I see them?",,,
,JCC,I would hope so-,,,
,AA,But maybe not. Yeah. It's so interesting how much change in just like one small landscape you've seen over your life.,,,
,JCC,"And that I would see it during my life, when I was a child, and they wanted to take me to Barrio Kroeger Lane, because, you know, Barrio Santa Cruz, Kroeger Lane, that's where father was my father was raised, so they had me there when they lived close to his parents, and family members of my mom as well. So there was family members on both sides of 22nd Starr Pass, but there was in the street then. So when they would want to go visit, I would say, No, no, it's ugly over there. Leave me here in my wreck.",,,
,AA,Really?,,,
,JCC,"And it's so happened that there is where I jumped the river and raised mine where I didn't want to. So that's what I work hard now to preserve what we have, because we need to realize as individuals, as humans, how we destroy Mother Earth and the surroundings ourselves? We do it. They it doesn't get done if we wouldn't permit it, right? But the human is the one that destroys.",,,
,AA,"And so when you were born, the freeway was already in, right? Yeah, so that would have already so the partition of the neighborhood had happened. Did your parents ever tell you anything about did they have memories of when the freeway went in and Cottonwood Lane kind of got split off from South Tucson?",,,
,JCC,"No, because mom and dad didn't want to be political. They would say, so they believe what government's going to do what they want to anyways, why even bother to say. Later, father was sharing more. In fact, when I started wanting to organize and learn, they would think I was crazy. No, that's loca. Like, get to work.",,,
,AA,"That sounds like a really big generational attitude towards politics that change, like, from your parents to you, they sound like they were kind of like, let the city do what it's going to do. Is that a fair-",,,
,JCC,"And then imagine, well, that they thought it wasn't going to help say anything.",,,
,AA,Okay.,,,
,JCC,"Because also in my family, the indigenous background heritage was also lost, because in their times, it was either dangerous or or a disgrace of claiming to be indigenous. Now, I mean, when I started asking our what indigenous background we had? You know, hear your crazy person starting again. No, we're not Indian and and now they can claim their their Yaqui. So I said, No, I'm not going to do it, because when I asked you, you didn't want to. No.",,,
,AA,"That's so interesting. Yeah, big changes in sort of like, what is seen as appropriate, or, yeah, what you want, what identities you want to take on. But it sounds like you had a different opinion than your parents, even when you were a little younger, you were curious about that stuff.",,,
,JCC,"Even younger, you know, when. They weren't church goers either. We live but by the 10 Commandments, but without church.",,,
,AA,"Oh, interesting.",,,
,JCC,"You know? And without the Virgin, the history of Virgin, knowing that the Virgin Mary, either or Jesus. I learned it from my husband, coming from Jalisco.",,,
,AA,"Oh, really?",,,
,JCC,"Yeah, so you don't steal, you don't lie, you don't kill. Which is all good.",,,
,AA,"Yeah, it's a generally good policy. I mean, unless, well. so I was curious about when you were a kid and you were growing up in Cottonwood Lane, how far could you go by yourself if you wanted to go out and play? You know, it sounds like you could go to the neighbor's yards, but I'm trying to get a sense of the you know, how much freedom did you have?",,,
,JCC,"Although they took care of each other? No. The acequia that I was sharing, the compuerta. Olga, Miss Olga Leon would share the story of my my my little brother. He would, we would always be barefoot, especially during the summer, especially when you started school, while it was it was hard wearing a shoe, no, so he was all all dirty. And he would be at the acequia, and she would pass and say, Chepu, what are you doing? Oh, I'm taking the bath. And he's all known, all filthy. So my outings would be like, I help dad with raising calves, because those calves would go to the auction that was on 29th Street, to the auction there, and that would buy us our clothes. And when we started school, well, that was even more needed, no? So my outing would be to take my herd of, of little calves out to go eat, because there was a lot to eat outside our our property, as well as horseback riding. There's where my husband and I would have a chance to see each other, would be riding a horse to the river.",,,
,AA,Really?,,,
,JCC,"Yes, because I wasn't allowed to speak with, with, with him, or anyone, any man.",,,
,AA,"This is amazing. So you got to go out on horseback. It's, it's so fascinating to me that we're talking about stories in, like, the 1960s 70s, probably 70s for that. And I mean, when you describe that to me, I could imagine that in any era, almost. And it's so incredible that it that could happen that late in Tucson. ",,,
,JCC,"Yeah, and not long ago, I, I heard this beautiful compliment. It says, Do you remember when you would ride your horse, your hair long and your hair would flow, when your your horse would run it and it. This when I would go over to Barrio Santa Cruz, where my favorite aunt lived and my grandparents, and she would notice that and I no, I thought it was a compliment.",,,
